year;forest;savanna;grassland;pasture;temp crop;permanent crop;forestry;mosaic of;urban;water
1985,00;0,00;-0,03;-0,06;-0,15;0,76;0,00;0,00;0,00;0,00;0,00
1986,00;0,00;-0,02;-0,05;-0,15;0,77;0,00;0,00;0,00;0,00;0,00
1987,00;0,00;-0,02;-0,04;-0,17;0,78;0,00;0,00;0,00;0,00;0,00
1988,00;0,00;-0,01;-0,03;-0,17;0,78;0,00;0,00;0,00;0,00;0,00
1989,00;0,00;-0,01;-0,01;-0,16;0,81;0,00;0,00;0,00;0,00;0,00
1990,00;0,00;-0,01;-0,01;-0,18;0,80;0,00;0,00;0,00;0,00;0,00
1991,00;0,00;-0,01;-0,01;-0,18;0,80;0,00;0,00;0,00;0,00;0,00
1992,00;0,00;0,00;-0,01;-0,18;0,81;0,00;0,00;0,00;0,00;0,00
1993,00;0,00;0,00;-0,01;-0,18;0,81;0,00;0,00;0,00;0,00;0,00
1994,00;0,00;0,00;-0,01;-0,16;0,83;0,00;0,00;0,00;0,00;0,00
1995,00;0,00;0,00;-0,01;-0,15;0,84;0,00;0,00;0,00;0,00;0,00
1996,00;0,00;0,00;-0,01;-0,13;0,86;0,00;0,00;0,00;0,00;0,00
1997,00;0,00;0,00;0,00;-0,12;0,87;0,00;0,00;0,00;0,00;0,00
1998,00;0,00;0,00;0,00;-0,12;0,88;0,00;0,00;0,00;0,00;0,00
1999,00;0,00;0,00;0,00;-0,11;0,88;0,00;0,00;0,00;0,00;0,00
2000,00;0,00;0,00;0,00;-0,10;0,89;0,00;0,00;0,00;0,00;0,00
2001,00;0,00;0,00;0,00;-0,08;0,92;0,00;0,00;0,00;0,00;0,00
2002,00;0,00;0,00;0,00;-0,07;0,93;0,00;0,00;0,00;0,00;0,00
2003,00;0,00;0,00;0,00;-0,06;0,94;0,00;0,00;0,00;0,00;0,00
2004,00;0,00;0,00;0,00;-0,07;0,93;0,00;0,00;0,00;0,00;0,00
2005,00;0,00;0,00;0,00;-0,08;0,92;0,00;0,00;0,00;0,00;0,00
2006,00;0,00;0,00;0,00;-0,08;0,92;0,00;0,00;0,00;0,00;0,00
2007,00;0,00;0,00;0,00;-0,08;0,91;0,00;0,00;0,00;0,00;0,00
2008,00;0,00;0,00;0,00;-0,08;0,91;0,00;0,00;0,00;0,00;0,00
2009,00;0,00;0,00;0,00;-0,07;0,93;0,00;0,00;0,00;0,00;0,00
2010,00;0,00;0,00;0,00;-0,06;0,93;0,00;0,00;0,00;0,00;0,00
2011,00;0,00;0,00;0,00;-0,05;0,94;0,00;0,00;0,00;0,00;0,00
2012,00;0,00;0,00;0,00;-0,05;0,95;0,00;0,00;0,00;0,00;0,00
2013,00;0,00;0,00;0,00;-0,05;0,95;0,00;0,00;0,00;0,00;0,00
2014,00;0,00;0,00;0,00;-0,05;0,95;0,00;0,00;0,00;0,00;0,00
2015,00;0,00;0,00;0,00;-0,05;0,95;0,00;0,00;0,00;0,00;0,00
2016,00;0,00;0,00;0,00;-0,06;0,94;0,00;0,00;0,00;0,00;0,00
2017,00;0,00;0,00;0,00;-0,06;0,94;0,00;0,00;0,00;0,00;0,00
2018,00;0,00;0,00;0,00;-0,06;0,93;0,00;0,00;0,00;0,00;0,00
